,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
weightTransformed[30],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[31],0.136851,0.00444122,0.0522655,0.0623787,0.13017,0.238375,138.492,9.21254,1.0187
weightTransformed[32],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[33],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[34],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[35],0.108295,0.0039334,0.045266,0.0461069,0.101689,0.196014,132.437,8.80974,1.02348
weightTransformed[36],0.0424023,0.00250117,0.0293751,0.00663062,0.0363838,0.0995538,137.935,9.17546,1.05103
weightTransformed[37],0.136851,0.00444122,0.0522655,0.0623787,0.13017,0.238375,138.492,9.21254,1.0187
weightTransformed[38],0.136851,0.00444122,0.0522655,0.0623787,0.13017,0.238375,138.492,9.21254,1.0187
weightTransformed[39],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
bodyActivityTransformed[1],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
bodyActivityTransformed[2],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
bodyActivityTransformed[3],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
bodyActivityTransformed[4],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
bodyActivityTransformed[5],0.0906342,0.00359844,0.0423957,0.032435,0.0855799,0.16961,138.808,9.23357,1.01214
bodyActivityTransformed[6],0.352723,0.00490474,0.0699714,0.238246,0.351427,0.470809,203.521,13.5383,1.01619
bodyActivityTransformed[7],0.335398,0.00392175,0.06944,0.226714,0.333051,0.453203,313.516,20.8552,1.00367
